Data Source,World Development Indicators,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36,...37,...38,...39,...40,...41,...42,...43,...44,...45,...46,...47,...48,...49,...50,...51,...52,...53,...54,...55,...56,...57,...58,...59,...60,...61,...62,...63,...64,...65,...66,...67,...68
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Last Updated Date,28-01-2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,405586592.2,487709497.2,596648044.7,695530726.3,764804469.3,872067039.1,958659217.9,1083240223,1245810056,1320670391,1379888268,1531843575,1665363128,1722905028,1873452514,1896456983,1961843575,2044111732,2254830726,2360017318,2469782682,2677641341,2843024581,2553793296,2453597207,2637859218,2615208380,2727849721,2790849721,2962907263,2983635196,3092429050,3276184358,3395798883,2481857123,2929446578,3279343544,3648573136
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,24210632546,24963977551,27078797299,31775749181,30285794057,33813171214,36934974917,38452170916,41750716743,47058301051,47603733608,52199396059,56737525055,73098451709,89554214419,95315090875,96025945910,109231000000,124109000000,142130000000,178509000000,185163000000,178405000000,185823000000,170100000000,149398000000,160638000000,190275000000,207470000000,220712000000,256512000000,276494000000,241276000000,240096000000,243571000000,273433000000,273531000000,288378000000,268833000000,265429000000,287202000000,260992000000,267815000000,355716000000,442696000000,516661000000,580241000000,665599000000,713502000000,715485000000,849410000000,945439000000,952999000000,962395000000,978708000000,898278000000,828943000000,972999000000,1012310000000,1009720000000,933392000000,1085750000000,1191420000000,1245470000000
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3521418060,2813571754,3825701439,4520946819,5224896719,6203256539,6971758282,9747886187,10109297048,12416152732,15856668556,17805098206,19907329778,20146416758,20497128556,19134221645,18116572395,18753456498,18053222687,18799444490,19955929052,14259995441,14497243872,17233051620
Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,11904954210,12707877772,13630758805,14469094144,15803761887,16921087955,18034172573,16493747239,17022809177,19301432648,26697257158,24497091508,29489793286,36891093307,49687843306,57280830632,68386405203,71790392859,78779062953,96682270600,120501000000,216911000000,195918000000,151223000000,131218000000,137803000000,109237000000,112295000000,111227000000,103934000000,123711000000,129942000000,124599000000,129733000000,134777000000,207177000000,262601000000,275742000000,296152000000,139468000000,142140000000,150058000000,179390000000,207755000000,256908000000,313328000000,398140000000,466884000000,569322000000,509918000000,600153000000,683888000000,739938000000,836937000000,897416000000,771767000000,694361000000,687849000000,770495000000,826484000000,789802000000,849312000000,883974000000,799106000000
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5930503401,5550483036,5550483036,5784341596,6131475065,7554065410,7072536109,8084412414,8769836769,10201780977,11229515599,10603784541,8307810974,5768720422,4438321017,5538749260,7526446606,7648377413,6506229607,6152923310,9129594970,8936079118,15285592370,17812704586,23552057679,36970900884,52381025141,65266415494,88538665085,70307196182,83799474070,111790000000,128053000000,132339000000,135967000000,90496420507,52761617226,73690154991,79450688259,70897962732,48501561204,66505129988,104400000000,84824654482
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1578102105,1808177156,1861163170,1881412587,1857337995,1897050117,2097326250,2080796250,2051236250,2253090000,2028553750,1099559028,652174990.8,1185315468,1880950864,2392764853,3199640815,2258513974,2545964541,3212121651,3480355258,3922100794,4348068242,5611496257,7184685782,8052077248,8896075005,10677324853,12881352894,12044205550,11926926616,12890760315,12319834195,12776224497,13228147516,11386853113,11861199831,13019726212,15379509892,15585105131,15241458745,18032010564,19017242586,23547179830
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78617711.1,89406608.15,113414397.4,150841639.3,186557082,220112572.2,227283850.8,253997897.2,308020261.2,411548748.4,446377776.8,388983266.2,375914743.6,327850042.5,330073080.6,346742714.7,481996012.9,611299924.5,721425939.2,795489582,1028989692,1106891362,1209992020,1007090270,1017544069,1178745283,1224024139,1180645572,1211953994,1240295199,1432606189,1548265808,1764279824,2366941809,2900245324,3161084091,3459337987,3957625367,4102319399,3688976341,3449925739,3629133574,3188652765,3193512950,3271685597,2789881259,2896610480,3000162081,3218419897,3155149348,2891001149,3324647529,3380612573,3785067332
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,NA,19997084154,20327670692,22362957618,24811627082,26769289694,28349126511,30598797625,34970677298,38561008451,43091222310,49926770848,59966658266,79125367982,152189000000,168159000000,209993000000,242270000000,265398000000,358111000000,486406000000,494916000000,463080000000,437471000000,440182000000,432868000000,405473000000,431258000000,429383000000,457369000000,641712000000,467953000000,467794000000,478927000000,499880000000,528480000000,570910000000,614597000000,598790000000,665415000000,763412000000,744729000000,746649000000,830076000000,987316000000,1210020000000,1439470000000,1674640000000,2118070000000,1829850000000,2155350000000,2560990000000,2795310000000,2858380000000,2905650000000,2544700000000,2500820000000,2572200000000,2867350000000,2899030000000,2562780000000,2969240000000,3609810000000,3512420000000
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,685986701.3,939893599.6,1415086929,4231243616,11651505689,14720728249,19213158779,24871775165,23775764225,31225659621,43599160050,49333424135,46622718605,42803323345,41807954236,40603650232,33943612095,36384908744,36275674203,41464995914,50701443748,51552165622,54239171888,55625170253,59305093980,65743666576,73571233996,78839008445,75674336283,84445473111,104337000000,103312000000,109816000000,124346000000,147824000000,180617000000,222117000000,257916000000,315475000000,253547000000,300189000000,360833000000,384610000000,400219000000,414105000000,370275000000,369255000000,390517000000,427049000000,417990000000,349473000000,415179000000,502732000000,514130000000
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,24450604878,18272123664,25605249382,28344705967,28630474728,24256667553,26436857247,31256284544,31584210366,33293199095,34733000536,52544000117,72436777342,52438647922,51169499892,56781000101,89049453088,69252328952,76961923741,78676842367,84307486837,103979000000,116915000000,88150891728,105872000000,108811000000,126890000000,76629728760,141353000000,189720000000,228779000000,236742000000,257440000000,258032000000,272150000000,292859000000,298948000000,283523000000,284204000000,268697000000,97724004252,127587000000,164658000000,198737000000,232557000000,287531000000,361558000000,332976000000,423627000000,530158000000,545982000000,552025000000,526320000000,594749000000,557532000000,643628000000,524820000000,447755000000,385741000000,486564000000,632790000000,646075000000
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2256863449,2069870130,1272835453,1201312829,1315158637,1468317435,1596968946,1639492445,1893726437,1845482173,1911563669,2118467913,2376335048,2807061009,3576615240,4900469511,6384452067,9206301270,11662040714,8647937081,9260285756,10142111825,10619320683,11121464437,11609513247,10553337518,10546136236,11527458709,12457940695,13619290539,12641698583,13878908629,19513506553,24085749592
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,512000000,524000000,509000000,500000000,493000000,518000000,560000000,675000000,573000000,570000000,640000000,638000000,643000000,673000000,671000000,612000000,639000000,647000000,721000000,750000000,871000000,NA
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77496296.3,88033333.33,109585185.2,132440740.7,149377777.8,166425925.9,184848148.1,212192592.6,246344444.4,297537037,346840740.7,411374074.1,455148148.1,478692592.6,504307407.4,525103703.7,565633333.3,625051851.9,616014814.8,679111111.1,734392592.6,789762963,835514814.8,900551851.9,877514814.8,897988888.9,947955555.6,1026181481,1143714815,1303548148,1487300000,1557540741,1386444444,1298255556,1281337037,1327107407,1325425926,1378829630,1437755556,1489692593,1531151852,1661529630,1725351852,1410796296,1601366667,1867733333,2033085185
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,18607682977,19684003149,19923683188,21540963447,23801123808,25977284156,27308964369,30442724871,32714085234,36684485870,41334726614,45217767235,52042056075,63833440102,88965364775,97304383449,105061000000,110352000000,118493000000,134901000000,149988000000,176895000000,194042000000,177267000000,193525000000,180643000000,182481000000,189496000000,236161000000,299876000000,311427000000,325975000000,325525000000,312134000000,322807000000,368166000000,401342000000,435643000000,399674000000,389652000000,416168000000,379629000000,395789000000,467739000000,614660000000,695693000000,748418000000,855007000000,1056110000000,928762000000,1148840000000,1398610000000,1547530000000,1577120000000,1468270000000,1351300000000,1206840000000,1325580000000,1427810000000,1392720000000,1328410000000,1556740000000,1690860000000,1728060000000
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,6624086313,7346566038,7793042529,8414050621,9213648656,10041659445,10939526219,11634569522,12499863917,13647475854,15312791744,17788536733,21973207929,29399860145,35051468640,39902300703,42791707448,51343861460,61809208756,73647694287,81737498405,70755997062,70996111963,71838528420,67719055773,69114996010,98648254169,123682000000,132817000000,132584000000,165811000000,173113000000,194314000000,189634000000,202738000000,240094000000,235953000000,211725000000,217068000000,216422000000,196182000000,196477000000,212837000000,260780000000,299210000000,313952000000,333906000000,386760000000,429234000000,399290000000,389828000000,428955000000,406750000000,426581000000,438556000000,379546000000,393687000000,414926000000,452582000000,442984000000,434398000000,480467000000,471774000000,511685000000
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8884848485,5344000000,444658671.6,1570392598,1193141110,2417331193,3176507376,3962362387,4446368571,4581248567,5272615723,5707616204,6236087738,7276413079,8680405741,13245421881,20981929498,33049419431,48851293785,44292427185,52909294792,65952796428,69679944504,74160560124,75239785452,53076235355,37866996883,40866627352,47112470052,48174235294,42693000000,54825411765,78807470588,72356176471
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,195999989.8,202999991.8,213500005.8,232749997.8,260750007.7,158994962.8,165444571.3,178297142.7,183199999.8,190205714.1,242732571.2,252842285.5,246804571.4,304339522.6,345263492.1,420986666.7,448412753.6,547535555.6,610225555.6,782496666.7,919726666.7,969046666.7,1013222222,1082926304,987143931.2,1149979286,1201725497,1131466494,1082403219,1113924130,1132101253,1167398478,1083037671,938632612,925030590.2,1000428394,869033856.3,972896267.9,893770740.2,808077223.4,870486065.9,876794723.1,825394519.4,784654423.6,915257323.4,1117113080,1273375078,1356199387,1611835857,1781455140,2032135192,2235820809,2333341334,2451606632,2705783330,3104003546,2644487777,2723586963,2667182200,2576518880,2649680261,2775798697,3338722828,2642161669
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,11810619368,12561701694,13436827167,14445805381,16168044450,17597783297,18894891312,20252508995,21654856965,24019653475,26706196047,29821661870,37209418019,47743801490,56033077879,65678189097,71113882968,82839905459,101247000000,116315000000,126829000000,104730000000,92095926188,87184239053,83349530159,86268264148,120019000000,149394000000,162299000000,164221000000,205332000000,210511000000,234782000000,224722000000,244884000000,288026000000,279201000000,252708000000,258528000000,258246000000,236792000000,236746000000,258384000000,318083000000,369215000000,385715000000,408260000000,470922000000,517328000000,485015000000,481557000000,527197000000,498414000000,524097000000,537987000000,461045000000,474272000000,500909000000,542639000000,536726000000,529694000000,598494000000,593439000000,644783000000
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,226195578.4,235668220.5,236434954,253927697.3,269819005.9,289908680.4,302925235.2,306221953.1,326323105.3,330748244.5,333627713.5,335073027.5,410331857,504376074.2,554654860.7,676870140.3,698408261.9,750049778.8,928843469.4,1186231020,1405251847,1291120188,1267778670,1095348199,1051134009,1045712789,1336102025,1562412228,1620246084,1502294416,1959965330,1986437797,1695315306,2274558083,1598075944,2169627138,2361116449,2268301646,2455092686,3677393999,3519991440,3666222635,4194342686,5349258094,6190270380,6567654954,7034111315,8169048383,9787734526,9738626517,9535345011,10693321370,11141358106,12517845128,13284527850,11388160997,11821065852,12701655846,14262408080,14391686309,15651545209,17690083520,17401746309,19676049076
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,330442815.8,350247234.3,379567099.2,394040667.1,410321645,422916789.7,433889766.2,450753923.5,460442689.4,478298645.4,458404268.8,482411179.1,578595522,674773569.9,751133430.4,939972703.5,976547188.1,1131224878,1475583645,1748480621,1928719888,1775842334,1754450096,1600278605,1459880132,1552493196,2036303358,2369834950,2616040479,2615587734,3101300779,3135045584,3356692505,3199536465,1895290637,2379517975,2586550595,2447669102,2804902367,3389566713,2968370088,3190371081,3622350063,4740768143,5451688538,6146353173,6547419820,7625722837,9451435490,9450696873,10109619741,12080295978,12561015157,13444300486,13943016077,11832159316,12833363045,14106955615,15890066221,16032813503,17725010533,19697516284,18820218691,20324617845
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,4274894083,4817580375,5081413542,5319458563,5386054833,5906636792,6439687854,7253575688,7483685771,8471006438,8992722167,8751843188,6288245867,8086725729,12512460520,19448348073,10117113333,9651149302,13281767143,15565480322,18138049096,20249694002,18525399202,17609048822,18920840000,22278423077,21774033333,24298032258,26579005558,28781715189,31598340778,30957483950,31708874594,33166519418,33768660883,37939748769,46438484108,48244309133,49984559471,51270569884,53369787319,53991289844,54724081491,60158929188,65108544250,69476001239,71795736172,79611644975,91636997371,102475000000,115276000000,128607000000,133311000000,149999000000,172887000000,195147000000,265225000000,293732000000,321363000000,351232000000,373979000000,416272000000,460132000000,437415000000
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19839230769,19870000000,19342000000,16563666667,17594944444,17155421053,20249294118,28101000000,22555941176,21988444444,20632090909,10943548387,10350515464,10832064942,9697416974,18991484420,12294964838,11316127379,15031055047,13627325461,13245990274,14183446026,16403043850,21144957990,26157743369,29868657858,34380536496,44432811756,54480684188,52023801230,50760929303,57737040780,54288135059,55852123990,57157782910,50811995689,53964253212,59309748166,66289266349,68631726289,70716821235,84417951261,90642851836,102408000000
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391577364.1,422181562.2,534081183.7,761132545.1,1042176884,1099107601,1581709519,1989060283,2272042965,2710160739,3493834468,3943109532,4145421080,4247030468,4440874566,4152376484,3470746843,3856922694,4209834173,4393093963,4809511005,5248911170,5402232447,5913001064,6330627926,6651180851,6938166755,7219407713,7031309043,7528469149,9062898936,8976196809,9593510638,11074813830,13150159574,15968723404,18504760638,21730000000,25710904255,22938218085,26805984043,29914680851,31963404255,33823324468,34772526596,32523297872,33884680851,37204813830,39567978723,40446808511,35837632979,40840212766,46680398936,46079867021
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,169735993.9,190021993.2,212169992.4,237649991.4,266559990.4,300271989.2,346800000,398000000,453800000,538700000,539500000,573400000,590900000,670900000,632400000,596200000,642100000,713000000,832400000,1139800100,1335300000,1426500000,1578300000,1732800000,2041100000,2320699900,2472500000,2713999900,2817900000,3062000000,3166000000,3111160000,3109000000,3092000000,3259000000,3429000000,3609000000,6332360000,6833220000,7683870000,8076470000,8317830000,8881160000,8870090000,9055290000,9836200000,10167250000,10618340000,10526000000,9981960000,10095760000,10070450000,10720400000,10395800000,10974100000,11671900000,11745100000,12236700000,12615800000,13016200000,9958200000,11368900000,13136400000,14338500000
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7753478261,6122959184,4735044707,3630668950,1255802469,1866572954,2786045322,3671909673,4116774301,4686256363,5567772769,5800615466,6728220887,8498894359,10156541538,11222796337,12864841906,15778734264,19112796623,17613949091,17176315804,18644233537,17226735996,18179108531,18558733564,16404348871,17116926328,18326373366,20484053869,20482608755,20226036564,23672712242,24534663636,27514782476
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17389558233,18404907975,16939790094,16275073527,14931435232,13972683274,14756846154,14130585516,15221352699,12138243081,12736780455,12354820144,14594900945,17825444724,23141566293,30210091837,36961894281,45275711996,60752106347,50873167326,57231904543,61762382328,65685890439,75527558966,78812805039,56454889147,47723545321,54725302250,60031173808,64410122847,61371755326,69673747132,73775179925,71857382746
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,28072478.07,29964999.97,31857591.86,33750113.75,36194586.19,40110040.11,44450044.45,47431255.75,44999910,47399905.2,53339893.32,59074687.2,65998069.38,78214767.83,103160450.4,118194026.3,97094227.23,117650000,136300000,151800000,257400000,260750000,248550000,262150000,290350000,287300000,311500000,371100000,421450000,491100000,547150000,597100000,696250000,752850000,772300000,819050000,850850000,873400000,929500000,1000250000,1138900000,1172800000,1244650000,1308900000,1400850000,1474950000,1591150000,1707100000,1738900000,1688500000,1745700000,1827050000,1909400000,2032750000,2138250000,2193050000,2240200000,2266300000,2293250000,2388300000,2042850000,2420550000,2846700000,3066850000
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,72400000,76500000,80700000,82600000,92200000,98000000,115000000,134800000,150000000,164900000,186300000,211100000,235400000,269500000,312600000,345000000,386300000,447000000,475800000,517200000,613299968,739100032,785500032,889400000,985699968,1039500032,1173500032,1296499968,1415100032,1501500032,1592400000,1634900000,1679900000,1820359900,1867160100,2030750000,2695390000,2932827000,3130748000,3324433000,3480219000,3680483000,3937228000,4186525000,4484703000,4868136000,6144000000,6767000000,6980000000,6656000000,6634526000,6312691000,6378188000,6465756000,6413988000,6654541000,6899911000,7142316000,7225977000,7423465000,6887147000,7286607000,7827980000,8141700000
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,373250000,406000000,443916666.7,478000000,538583333.3,598333333.3,662500000,748250000,849333333.3,920333333.3,1006833333,1084666667,1286153846,1263600000,2101300000,2405900000,2733350000,3229050000,3760100000,4510500000,4450360000,5778480000,5600390625,5414008621,6169304528,5377276657,3959383520,4347956338,4597611710,4715973437,4867582598,5343262457,5643868749,5734699489,5981222859,6715161732,7396949126,7925736821,8497494652,8285064435,8397855485,8141516928,7905485146,8082399640,8773451752,9549122905,11451844902,13120108008,16674276286,17339992194,19649723722,23963164697,27084497482,30659338886,32996188013,33000198248,33941126200,37508642165,40287647930,40895322844,36629843805,40406111695,44008282878,45135398009
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,17030465539,17275940449,19231747852,23287712878,20963733695,22465522884,28283323733,31086389195,33930457425,37171640819,42327664794,48869830902,58434858375,83592275863,109795000000,129204000000,153169000000,176344000000,200279000000,221338000000,237393000000,258015000000,271314000000,189657000000,188340000000,210880000000,256481000000,283057000000,307882000000,412991000000,464989000000,342534000000,328192000000,368292000000,525369000000,769333000000,850426000000,883206000000,863711000000,599642000000,655448000000,559984000000,509795000000,558234000000,669289000000,891634000000,1107630000000,1397110000000,1695860000000,1667000000000,2208840000000,2616160000000,2465230000000,2472820000000,2456040000000,1802210000000,1795690000000,2063510000000,1916930000000,1873290000000,1476110000000,1670650000000,1951920000000,2173670000000
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,80021846.91,85363759.31,88782583.42,99893761.22,99252731.41,105021996.8,113195122.7,125553996.6,125733668.5,141393142,166210203,186826488.7,213725248.9,260767889.2,311804643.4,402178605,435911268.6,495097667.9,552883707.1,670362452.1,1012280615,1114204743,1163923830,1236016507,1346890071,1409536121,1547755183,1704370308,1812757918,2006165167,2012131457,2020583702,1957000000,2063342117,2151344901,2216974096,2363645403,2498384130,2817083478,2951822205,3059500000,3054500000,3106500000,3209500000,3444500000,3819500000,4217323400,4675767950,4790410400,4466809600,5191188500,5342183800,5271257500,5361158350,5365976700,5288057750,5330761500,5517340450,5629916200,5788288000,5168344450,5275242050,6257303500,6720733200
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,NA,NA,NA,114039500.6,132757528,139029537.2,160818235.9,161210236.4,179078929.3,197525767.8,270822782,433095526.7,2319576214,2496420258,3054765590,3681242528,4100423674,6044367628,10795432294,9367218664,8932198186,7927590750,7632788075,6967623884,4190280003,4918010080,4535130305,4983622881,6039881087,6284497300,6327966445,6203339925,6467782521,7700144057,7663377277,7793034390,5550846025,6309070375,6570999060,6096155748,6333082879,7167725265,8619178799,10547202612,12644616446,13432029496,15926456492,11912904529,13707121031,18524791071,19048443340,18094148099,17097797372,12930296852,11400266055,12128168047,13566908401,13469235348,12005799664,14006496614,16681536443,15128292981
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61812113.07,66289450.33,70139866.81,78900289.32,92901784.5,86820762.49,88461262.78,97884433.8,94086227.61,105377995.2,128669200.9,139174178.1,141439317.4,156704289.9,160423493.9,163288815.4,191218115.5,242742766.3,272298066.6,264798626.2,287765007.1,240294286,240233531.2,225973692.8,258954708,290490983.8,303408345.6,352229076.7,363458380.9,399311199.5,460733418.4,496110225.7,559345263.7,651935430.3,735348490.4,860391000.2,942879878.5,1255767964,1317517835,1331343798,1708880731,1977728659,1973387228,1943696952,2089079571,2187815804,2357504761,2591358010,2583335721,2735683570,2457604334,2768802960,2898227743,NA
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,30411413.66,32902612.87,35644956.64,38091842.85,41616347.79,45788696.33,51465655.39,58642354.09,66248441.42,77361546.51,96243233.66,127448613.5,164460915,244124164,306044207.5,355168571.5,372025093,451624780.3,590407374.4,819870258.8,1060889704,1073812830,1014945696,1172230397,1240822167,1114783343,1392602164,1965226890,2644554159,3083822112,3790636324,3942876703,4146464587,4160129175,4259259604,4730599122,4847757218,5020265627,4790481509,5484263347,5788329609,5489608300,5438863983,7511582173,8957467707,9918907108,9919158482,10567270656,10730829116,10118459242,12637273429,15110643612,13907464500,14271738933,15470088501,13530748845,15082637184,16105155857,17031943186,16725908149,14960291106,18750946600,20321958850,19396084498
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,112155598.5,123134583.5,124482773.8,129379123.8,142025078.7,150574795.4,157930018.1,163820513.6,191767441.6,188039210.1,189106529.2,201450799.8,230317883.4,271183082,281398705.6,378660016.3,451152461.3,507298147.5,610578632,700764747.8,797048198.5,694803622.9,748312390.8,658679332.7,637820670.3,864849836.3,1122265013,1200991978,1264899288,1233930281,1440711459,1377374987,1411917553,1278781262,851174356.8,1115389674,1007791127,937741513,967338389.7,999477510.7,916777282.7,932648604.8,996068144.9,1142315523,1272360517,1337894379,1461859762,1699811295,1993407888,2067381665,2142591540,2437982705,2510126512,1691544110,1894813389,1695825714,1825018145,2072349973,2220979146,2221301351,2326720900,2516498412,2382618615,2555492085
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,40563768947,41038192838,42336211556,45140337827,49503663836,54649410479,61252415405,65856924424,72048833006,79405011125,88192257632,99606454744,113464000000,131764000000,160949000000,174420000000,207272000000,212325000000,219370000000,243891000000,274777000000,307247000000,314648000000,341866000000,356718000000,366186000000,379007000000,433134000000,509380000000,567212000000,596076000000,612528000000,594387000000,579054000000,579944000000,605961000000,630608000000,654987000000,634000000000,678412000000,744773000000,738982000000,760649000000,895541000000,1026690000000,1173110000000,1319260000000,1468820000000,1552990000000,1374630000000,1617340000000,1793330000000,1828370000000,1846600000000,1805750000000,1556510000000,1527990000000,1649270000000,1725330000000,1743730000000,1655680000000,2007470000000,2161480000000,2142470000000
Central Europe and the Baltics,CEB,GDP (current US$),NY.GDP.MKTP.CD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272003000000,250082000000,256807000000,270242000000,308522000000,394610000000,417343000000,411041000000,449766000000,435931000000,429355000000,469451000000,528497000000,634386000000,763596000000,885829000000,1001430000000,1264330000000,1530370000000,1289530000000,1319800000000,1458460000000,1362240000000,1420300000000,1467440000000,1297120000000,1321230000000,1467420000000,1657630000000,1685120000000,1678760000000,1926800000000,1955930000000,2267760000000
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,10412232621,11713348834,12989649694,14283872299,15833133858,16780226225,18019402374,19397044714,20712102794,22442043274,24998066773,30040171751,36844318854,49550006320,57103011446,65466081819,68476524644,73135771167,102280000000,114970000000,122558000000,112245000000,115043000000,114634000000,109455000000,110980000000,159090000000,199236000000,215541000000,208106000000,265764000000,268902000000,279921000000,272238000000,301375000000,352836000000,340104000000,294788000000,303459000000,297874000000,279216000000,286583000000,309301000000,362075000000,403913000000,418285000000,441635000000,490741000000,567268000000,554213000000,598851000000,715888000000,686420000000,706235000000,726538000000,694118000000,687895000000,695201000000,725569000000,721369000000,741999000000,813409000000,818427000000,884940000000
